Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Essex,Sussex,Sussex,36 runs,Chelmsford,"Jul 4, 2018",T20
Northants,Leics,Leics,4 wickets,Northampton,"Jul 4, 2018",T20
Notts,Bears,Bears,8 wickets,Nottingham,"Jul 4, 2018",T20
Middlesex,Surrey,Middlesex,3 wickets,Lord's,"Jul 5, 2018",T20
Lancashire,WORCS,WORCS,5 wickets,Manchester,"Jul 5, 2018",T20
Yorkshire,Durham,Yorkshire,44 runs,Leeds,"Jul 5, 2018",T20
Somerset,Gloucs,Somerset,6 wickets,Taunton,"Jul 6, 2018",T20
WORCS,Bears,WORCS,4 runs,Worcester,"Jul 6, 2018",T20
Leics,Durham,Durham,33 runs,Leicester,"Jul 6, 2018",T20
Northants,Notts,Notts,58 runs,Northampton,"Jul 6, 2018",T20
Surrey,Kent,Kent,6 runs,The Oval,"Jul 6, 2018",T20
Derbyshire,Lancashire,Lancashire,9 wickets,Derby,"Jul 6, 2018",T20
Essex,Middlesex,Essex,3 wickets,Chelmsford,"Jul 6, 2018",T20
Hampshire,Glamorgan,Glamorgan,63 runs,Southampton,"Jul 6, 2018",T20
Bears,Yorkshire,Bears,8 wickets,Birmingham,"Jul 8, 2018",T20
Derbyshire,WORCS,WORCS,6 wickets,Derby,"Jul 8, 2018",T20
Glamorgan,Sussex,Sussex,8 wickets,Cardiff,"Jul 8, 2018",T20
Lancashire,Northants,Lancashire,8 wickets,Manchester,"Jul 8, 2018",T20
Leics,Notts,Notts,19 runs,Leicester,"Jul 8, 2018",T20
Middlesex,Gloucs,Gloucs,6 wickets,Uxbridge,"Jul 8, 2018",T20
Somerset,Kent,Kent,8 wickets,Taunton,"Jul 8, 2018",T20
Gloucs,Kent,Gloucs,5 runs,Bristol,"Jul 11, 2018",T20
Surrey,Essex,Surrey,39 runs,The Oval,"Jul 12, 2018",T20
Hampshire,Sussex,Sussex,8 wickets,Southampton,"Jul 12, 2018",T20
Kent,Hampshire,Kent,3 runs,Beckenham,"Jul 13, 2018",T20
WORCS,Northants,WORCS,41 runs,Worcester,"Jul 13, 2018",T20
Durham,Yorkshire,Yorkshire,10 runs,Chester-le-Street,"Jul 13, 2018",T20
Gloucs,Somerset,Gloucs,4 wickets,Bristol,"Jul 13, 2018",T20
Bears,Leics,Leics,100 runs,Birmingham,"Jul 13, 2018",T20
Derbyshire,Notts,Notts,39 runs,Derby,"Jul 13, 2018",T20
Essex,Glamorgan,Glamorgan,2 wickets,Chelmsford,"Jul 13, 2018",T20
Sussex,Surrey,Surrey,52 runs,Hove,"Jul 13, 2018",T20
Lancashire,Derbyshire,Lancashire,12 runs,Manchester,"Jul 14, 2018",T20
Bears,Durham,Durham,18 runs,Birmingham,"Jul 15, 2018",T20
WORCS,Yorkshire,Yorkshire,12 runs,Worcester,"Jul 15, 2018",T20
Notts,Durham,Durham,34 runs,Nottingham,"Jul 17, 2018",T20
Leics,Lancashire,Lancashire,8 wickets,Leicester,"Jul 18, 2018",T20
Middlesex,Somerset,Somerset,4 wickets,Lord's,"Jul 19, 2018",T20
Northants,Derbyshire,Derbyshire,31 runs,Northampton,"Jul 19, 2018",T20
Gloucs,Essex,no result,-,Cheltenham,"Jul 20, 2018",T20
Durham,WORCS,Durham,7 wickets,Chester-le-Street,"Jul 20, 2018",T20
Glamorgan,Somerset,Somerset,30 runs,Cardiff,"Jul 20, 2018",T20
Lancashire,Yorkshire,Lancashire,1 run,Manchester,"Jul 20, 2018",T20
Notts,Leics,Leics,17 runs,Nottingham,"Jul 20, 2018",T20
Bears,Northants,tied,-,Birmingham,"Jul 20, 2018",T20
